Representative,BioGuideID,ReportDate,TransactionDate,Ticker,Transaction,Range,House,Amount,Party,last_modified,TickerType,Description,Quarter,EntryPrice,ExitPrice,PercentChange,TradeAmount,AdjustedReturn
Rob Bresnahan,B001327,2025-03-27,2025-03-07,INTU,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,605.8599853515625,615.2999877929688,1.558116176946147,15000.0,1.558116176946147
Rob Bresnahan,B001327,2025-03-27,2025-03-06,TSLA,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,272.0599975585937,273.1300048828125,-0.3932982922225829,15000.0,-0.3932982922225829
Rob Bresnahan,B001327,2025-03-27,2025-03-05,SE,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,135.64999389648438,133.57000732421875,-1.5333480765600918,15000.0,-1.5333480765600918
Rob Bresnahan,B001327,2025-03-27,2025-03-04,ZM,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,73.95999908447266,76.77999877929688,3.812871457182395,15000.0,3.812871457182395
Rob Bresnahan,B001327,2025-03-27,2025-03-04,BABA,Sale,"$15,001 - $50,000",Representatives,15001.0,R,2025-03-28,ST,,2025-Q1,129.60000610351562,135.6300048828125,-4.652776616754573,50000.0,-4.652776616754573
Rob Bresnahan,B001327,2025-03-27,2025-03-04,CRDO,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,49.0099983215332,42.43000030517578,13.425827875342758,15000.0,13.425827875342758
Rob Bresnahan,B001327,2025-03-27,2025-03-04,TWLO,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,114.01000213623048,101.81999969482422,-10.692046498552315,15000.0,-10.692046498552315
Rob Bresnahan,B001327,2025-03-27,2025-03-04,META,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,644.9362031172728,602.5800170898438,-6.567500137641861,15000.0,-6.567500137641861
Rob Bresnahan,B001327,2025-03-27,2025-03-03,TSM,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,180.446936265116,168.24000549316406,6.764831270960057,15000.0,6.764831270960057
Rob Bresnahan,B001327,2025-03-27,2025-03-03,SNOW,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,178.6999969482422,156.97999572753906,-12.15444968753637,15000.0,-12.15444968753637
Rob Bresnahan,B001327,2025-03-27,2025-03-03,BABA,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,134.00999450683594,135.6300048828125,1.2088728023146995,15000.0,1.2088728023146995
Rob Bresnahan,B001327,2025-03-27,2025-03-03,NVDA,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,123.49864257535764,111.43000030517578,9.772287385926278,15000.0,9.772287385926278
Rob Bresnahan,B001327,2025-03-27,2025-03-03,INTC,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,25.0,23.6200008392334,-5.519996643066406,15000.0,-5.519996643066406
Rob Bresnahan,B001327,2025-03-27,2025-03-03,TTWO,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,212.88999938964844,214.2899932861328,0.6576137444211239,15000.0,0.6576137444211239
Rob Bresnahan,B001327,2025-03-27,2025-02-27,ORCL,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,173.0,145.77999877929688,15.734104751851518,15000.0,15.734104751851518
Rob Bresnahan,B001327,2025-03-27,2025-02-27,ALAB,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,85.0199966430664,62.790000915527344,26.14678499796433,15000.0,26.14678499796433
Rob Bresnahan,B001327,2025-03-27,2025-02-27,TSLA,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,291.1600036621094,273.1300048828125,6.192470996195156,15000.0,6.192470996195156
Rob Bresnahan,B001327,2025-03-27,2025-02-26,INTC,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,23.25,23.6200008392334,1.5914014590683805,15000.0,1.5914014590683805
Thomas H. Kean Jr,K000398,2025-03-14,2025-02-26,SYK,Sale,"$15,001 - $50,000",Representatives,15001.0,R,2025-03-14,ST,,2025-Q1,391.5499877929688,367.5400085449219,6.132034222088165,50000.0,6.132034222088165
Rob Bresnahan,B001327,2025-03-27,2025-02-26,PLTR,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,89.16000366210938,90.08999633789062,-1.043060383112649,15000.0,-1.043060383112649
Rob Bresnahan,B001327,2025-03-27,2025-02-26,SNOW,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,166.0,156.97999572753906,-5.433737513530685,15000.0,-5.433737513530685
Rob Bresnahan,B001327,2025-03-27,2025-02-26,APP,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,328.4700012207031,261.70001220703125,20.327575962959333,15000.0,20.327575962959333
Rob Bresnahan,B001327,2025-03-27,2025-02-26,NVDA,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,129.97805439122038,111.43000030517578,-14.270142889057944,15000.0,-14.270142889057944
Rob Bresnahan,B001327,2025-03-27,2025-02-26,TTD,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,75.05999755859375,57.2599983215332,-23.7143615987536,15000.0,-23.7143615987536
Thomas H. Kean Jr,K000398,2025-03-14,2025-02-26,AMZN,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-14,ST,,2025-Q1,214.94000244140625,201.3600006103516,-6.318043024474547,15000.0,-6.318043024474547
Rob Bresnahan,B001327,2025-03-27,2025-02-25,CAG,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,25.8700008392334,26.459999084472656,-2.280627081946168,15000.0,-2.280627081946168
Rob Bresnahan,B001327,2025-03-27,2025-02-25,ZTS,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,165.89999389648438,165.02000427246094,0.5304337892697689,15000.0,0.5304337892697689
Rob Bresnahan,B001327,2025-03-27,2025-02-25,MSFT,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,401.1000061035156,390.5799865722656,2.622792164339933,15000.0,2.622792164339933
Rob Bresnahan,B001327,2025-03-27,2025-02-25,AOS,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,66.52999877929688,66.9000015258789,-0.5561442257190758,15000.0,-0.5561442257190758
Rob Bresnahan,B001327,2025-03-27,2025-02-25,PLTR,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,90.6500015258789,90.08999633789062,-0.6177663304599174,15000.0,-0.6177663304599174
Rob Bresnahan,B001327,2025-03-27,2025-02-25,MRNA,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2025-03-28,ST,,2025-Q1,33.97999954223633,32.119998931884766,-5.473809992373973,15000.0,-5.473809992373973
